Time,Protocol,Length,Source,Destination,bad_packet
388.034052793,0,42,2,1,1
388.034065418,0,42,2,1,1
388.034072287,0,42,2,1,1
388.034076217,0,42,2,1,1
388.038024469,0,42,2,1,1
388.038035856,0,42,2,1,1
388.038042055,0,42,2,1,1
388.038143519,0,42,2,1,1
388.048512492,0,42,2,1,1
388.059050282,0,42,2,1,1
388.066030228,0,42,2,1,1
388.066052018,0,42,2,1,1
388.0660591,0,42,2,1,1
388.066069997,0,42,2,1,1
388.066074812,0,42,2,1,1
388.066079611,0,42,2,1,1
388.06965844,0,42,2,1,1
388.079911584,0,42,2,1,1
388.090193899,0,42,2,1,1
388.098024171,0,42,2,1,1
388.098037939,0,42,2,1,1
388.098047617,0,42,2,1,1
388.100439177,0,42,2,1,1
388.102024027,0,42,2,1,1
388.102035991,0,42,2,1,1
388.102047817,0,42,2,1,1
388.110656872,0,42,2,1,1
388.120874212,0,42,2,1,1
388.130023249,0,42,2,1,1
388.130036447,0,42,2,1,1
388.130045551,0,42,2,1,1
388.131115596,0,42,2,1,1
388.134024154,0,42,2,1,1
388.134035034,0,42,2,1,1
388.13404169,0,42,2,1,1
388.145397237,0,42,2,1,1
388.155712281,0,42,2,1,1
388.162050935,0,42,2,1,1
388.16208666,0,42,2,1,1
388.162097448,0,42,2,1,1
388.162105215,0,42,2,1,1
388.166064648,0,42,2,1,1
388.166089838,0,42,2,1,1
388.166096591,0,42,2,1,1
388.176366354,0,42,2,1,1
388.186699842,0,42,2,1,1
388.194028463,0,42,2,1,1
388.194062935,0,42,2,1,1
388.194072396,0,42,2,1,1
388.194079639,0,42,2,1,1
388.194085422,0,42,2,1,1
388.194090373,0,42,2,1,1
388.19720556,0,42,2,1,1
388.207529178,0,42,2,1,1
388.21795739,0,42,2,1,1
388.226032517,0,42,2,1,1
388.226055456,0,42,2,1,1
388.226062937,0,42,2,1,1
388.22607443,0,42,2,1,1
388.226081274,0,42,2,1,1
388.226085146,0,42,2,1,1
388.228588172,0,42,2,1,1
388.238878313,0,42,2,1,1
388.249321983,0,42,2,1,1
388.258025448,0,42,2,1,1
